Group,Call_Direction,Missed Calls,GroupID,UserID,Features, vpDialingfacResult,UsageDeviceType,UserDeviceType,date,starttime,endtime,duration,hourly_range,weekly_range
16109648000,Outgoing,16,gr-0001005437,cbright@eip.local,Secondary Device,,Secondary Device,PolycomVVX-VVX_300-UA/5.7.1.2205_0004f2669ec8,2019-06-20,2019-06-20 03:27:18,2019-06-20 04:04:27,37.0,03:00 - 03:59,Thursday
16109648000,Incoming,16,gr-0001005437,pvinh@eip.local,Primary Device,,Primary Device,PolycomVVX-VVX_400-UA/5.4.7.1696_0004f285d022,2019-06-20,2019-06-20 03:27:18,2019-06-20 04:04:27,37.0,03:00 - 03:59,Thursday
16109648000,Outgoing,16,gr-0001005437,mbrooks@eip.local,Primary Device,,Primary Device,PolycomVVX-VVX_400-UA/5.4.7.1696_0004f2865126,2019-06-20,2019-06-20 05:26:53,2019-06-20 05:27:09,0.0,05:00 - 05:59,Thursday
16109648000,Incoming,16,gr-0001005437,mbrooks@eip.local,Primary Device,,Primary Device,PolycomVVX-VVX_400-UA/5.4.7.1696_0004f2865126,2019-06-20,2019-06-20 05:27:35,2019-06-20 06:01:25,33.0,05:00 - 05:59,Thursday
16109648000,Outgoing,16,gr-0001005437,mbrooks@eip.local,Secondary Device,,Secondary Device,bc-uc - UC-One (22.2.0.1634 Windows 7),2019-06-20,2019-06-20 06:04:35,2019-06-20 06:06:16,1.0,06:00 - 06:59,Thursday
16109648000,Incoming,16,gr-0001005437,jrodriguez@eip.local,,,,,2019-06-20,2019-06-20 06:04:35,2019-06-20 06:06:16,1.0,06:00 - 06:59,Thursday
16109648000,Incoming,16,gr-0001005437,216146942_VMR@voip.evolveip.net,,,,,2019-06-20,2019-06-20 06:04:53,2019-06-20 06:06:16,1.0,06:00 - 06:59,Thursday
16109648000,Outgoing,16,gr-0001005437,jrodriguez@eip.local,Call Forward No Answer,,,,2019-06-20,2019-06-20 06:04:53,2019-06-20 06:06:16,1.0,06:00 - 06:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102634258@voip.evolveip.net,,,,bc-uc - UC-One (22.2.0.1634 Windows 10),2019-06-20,2019-06-20 06:20:55,2019-06-20 06:21:28,0.0,06:00 - 06:59,Thursday
16109648000,Incoming,16,gr-0001005437,6102634260@voip.evolveip.net,,,,,2019-06-20,2019-06-20 06:20:55,2019-06-20 06:21:28,0.0,06:00 - 06:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102634258@voip.evolveip.net,,,,bc-uc - UC-One (22.2.0.1634 Windows 10),2019-06-20,2019-06-20 06:25:21,2019-06-20 06:25:55,0.0,06:00 - 06:59,Thursday
16109648000,Incoming,16,gr-0001005437,6102634260@voip.evolveip.net,,,,,2019-06-20,2019-06-20 06:25:21,2019-06-20 06:25:55,0.0,06:00 - 06:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102634258@voip.evolveip.net,Secondary Device,,Secondary Device,bc-uc - UC-One (22.2.0.1634 Windows 10),2019-06-20,2019-06-20 06:25:59,2019-06-20 06:26:18,0.0,06:00 - 06:59,Thursday
16109648000,Incoming,16,gr-0001005437,6102634261@voip.evolveip.net,,,,,2019-06-20,2019-06-20 06:25:59,2019-06-20 06:26:18,0.0,06:00 - 06:59,Thursday
16109648000,Incoming,16,gr-0001005437,216146942_VMR@voip.evolveip.net,,,,,2019-06-20,2019-06-20 06:26:17,2019-06-20 06:26:18,0.0,06:00 - 06:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102634261@voip.evolveip.net,Call Forward No Answer,,,,2019-06-20,2019-06-20 06:26:17,2019-06-20 06:26:18,0.0,06:00 - 06:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102634260@voip.evolveip.net,Primary Device,,Primary Device,PolycomVVX-VVX_501-UA/5.7.1.2205_64167f092ed7,2019-06-20,2019-06-20 06:51:26,2019-06-20 07:20:33,29.0,06:00 - 06:59,Thursday
16109648000,Incoming,16,gr-0001005437,6102634258@voip.evolveip.net,Secondary Device,,Secondary Device,bc-uc - UC-One (22.2.0.1634 Windows 10),2019-06-20,2019-06-20 06:51:26,2019-06-20 07:20:33,29.0,06:00 - 06:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102302837@voip.evolveip.net,Secondary Device,,Secondary Device,bc-uc - UC-One (22.6.7.3  Android Mobile),2019-06-20,2019-06-20 07:32:27,2019-06-20 07:33:04,0.0,07:00 - 07:59,Thursday
16109648000,Incoming,16,gr-0001005437,216146942_VMR@voip.evolveip.net,,,,,2019-06-20,2019-06-20 07:32:27,2019-06-20 07:33:04,0.0,07:00 - 07:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102634260@voip.evolveip.net,Primary Device,,Primary Device,PolycomVVX-VVX_501-UA/5.7.1.2205_64167f092ed7,2019-06-20,2019-06-20 07:37:41,2019-06-20 07:38:57,1.0,07:00 - 07:59,Thursday
16109648000,Incoming,16,gr-0001005437,6102634261@voip.evolveip.net,Primary Device,,Primary Device,PolycomVVX-VVX_501-UA/5.7.1.2205_64167f092ef2,2019-06-20,2019-06-20 07:37:41,2019-06-20 07:38:57,1.0,07:00 - 07:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102634260@voip.evolveip.net,Primary Device,,Primary Device,PolycomVVX-VVX_501-UA/5.7.1.2205_64167f092ed7,2019-06-20,2019-06-20 07:51:09,2019-06-20 07:51:29,0.0,07:00 - 07:59,Thursday
16109648000,Incoming,16,gr-0001005437,6102634259@voip.evolveip.net,,,,,2019-06-20,2019-06-20 07:51:09,2019-06-20 07:51:29,0.0,07:00 - 07:59,Thursday
16109648000,Outgoing,16,gr-0001005437,6102634259@voip.evolveip.net,Call Forward No Answer,,,,2019-06-20,2019-06-20 07:51:27,2019-06-20 07:51:29,0.0,07:00 - 07:59,Thursday
